sw,lw,pre,u10,vpd,lh,mean_2m_air_temperature,total_precipitation
249.535,300.407,86.454,1.769,12.281,52.4451,291.40631103515625,0.0
247.017,301.623,86.464,1.325,13.063,52.9206,291.7637023925781,0.0
244.631,305.355,86.441,1.118,13.412,55.4618,291.885498046875,0.0
228.063,321.591,86.365,1.498,15.899,55.0208,293.7470397949219,0.0
235.17,328.303,86.198,1.474,17.097,55.4778,295.1400756835937,0.0
168.311,344.999,86.183,1.263,12.854,58.4146,293.9989318847656,0.0005134809762239
226.678,309.704,86.916,1.186,7.805,58.1638,291.3623352050781,7.205735892057419e-05
231.006,304.49,86.761,1.884,13.243,58.3937,291.6566772460937,0.0
228.56,315.033,86.428,1.79,16.234,60.4813,295.0887451171875,0.0
223.673,327.348,86.43,1.746,13.6,58.8943,294.7179870605469,0.0
224.277,316.459,86.599,1.533,11.283,57.998,293.8624572753906,0.0
208.543,320.61,86.44,2.153,8.507,59.043,292.2512512207031,0.0
195.727,309.589,86.545,1.187,6.436,56.8617,287.9488220214844,0.0126295303925871
221.072,288.55,86.569,1.296,9.499,55.6019,286.9180908203125,0.0
219.722,288.006,86.69,0.853,9.238,56.4418,289.0546569824219,0.0
219.546,275.466,86.436,1.024,11.216,54.2343,288.9568786621094,0.0
180.682,286.621,85.928,1.924,6.584,52.6601,285.54888916015625,9.254738688468932e-05
208.758,268.698,86.211,1.615,7.439,53.0924,282.7411804199219,0.0006039682775735
129.635,304.257,86.502,2.293,5.63,50.9633,282.3929138183594,0.0006510075181722
100.324,326.363,86.455,2.443,3.482,49.8191,282.06707763671875,0.0544012859463691
66.479,331.276,86.251,1.3,3.373,50.8065,281.8783264160156,0.0088128568604588
193.439,269.574,86.75,1.902,6.034,49.2813,279.9831237792969,0.0045817717909812
199.574,265.664,87.164,1.908,8.065,48.8287,282.1705322265625,0.0
199.049,278.753,87.249,1.783,9.111,50.3013,285.2008056640625,0.0
197.517,287.451,87.13,1.643,10.105,49.296,287.1600952148437,0.0
195.966,294.386,87.085,1.464,11.072,49.2605,288.8556823730469,0.0
194.135,294.306,86.969,1.15,11.793,51.1364,289.2534484863281,0.0
190.702,290.626,86.809,0.878,11.117,50.6076,288.5474548339844,0.0
189.513,285.74,86.69,1.054,10.416,50.9861,287.9200439453125,0.0
186.351,280.343,86.641,1.356,7.478,53.353,286.6553039550781,0.0
179.335,284.177,86.711,1.361,7.998,53.0551,285.4964599609375,1.862645149230957e-09
181.137,289.37,86.838,1.485,9.845,53.6468,286.6455383300781,4.0978193283081055e-08
178.391,286.62,86.753,1.051,7.836,56.3351,285.7410583496094,0.0
176.758,279.344,86.534,1.121,6.59,56.2235,285.534423828125,0.0
180.048,247.128,86.555,2.764,8.712,57.0191,283.62957763671875,0.0
177.603,254.53,86.877,1.868,9.087,61.03,283.7796630859375,0.0
173.384,264.921,86.921,1.355,8.814,61.6482,282.6844177246094,0.0
169.843,266.316,86.626,0.994,8.539,63.2385,283.5316772460937,0.0
135.303,273.79,86.776,0.777,7.757,65.8049,281.3818054199219,1.6130506992340088e-06
137.729,294.119,87.06,0.887,6.643,64.9658,283.07763671875,0.0001075528562068
128.049,309.416,87.296,0.768,5.805,65.3516,284.6301574707031,1.011975109577179e-05
120.726,313.305,87.317,1.022,5.498,68.1762,286.1329040527344,1.862645149230957e-09
159.952,289.606,87.219,1.854,8.617,67.5484,287.1847229003906,4.284083843231201e-08
160.475,288.143,87.07,1.636,10.087,68.3464,288.3781433105469,1.862645149230957e-09
104.384,316.921,86.946,1.074,9.711,71.7693,287.4702453613281,4.284083843231201e-08
120.116,311.004,86.862,1.003,10.411,71.9573,286.6186828613281,0.0
149.566,291.373,86.827,1.184,8.956,70.4089,286.1048278808594,0.0
129.238,315.443,86.673,1.362,6.887,70.4929,285.91278076171875,0.0
100.931,308.459,86.777,0.973,4.11,62.609,284.2384948730469,0.0059373062103986
150.172,256.026,86.649,1.062,5.793,52.8435,280.5453796386719,0.0
106.491,305.377,86.288,1.574,7.619,55.5453,281.3131408691406,4.0978193283081055e-08
9.786,342.612,85.803,1.541,4.667,55.8143,282.3926086425781,0.0042181778699159
54.623,331.617,85.873,1.329,3.233,56.4237,280.0214233398437,0.0062374249100685
108.526,298.507,86.021,1.083,4.36,59.4781,278.5727233886719,0.0006740055978298
24.649,323.466,85.957,2.199,3.436,59.1023,278.857177734375,0.0095298932865262
78.368,297.248,86.525,1.366,3.593,59.0442,278.57183837890625,0.0045357281342148
28.56,302.432,86.793,2.547,3.495,61.5033,277.2069091796875,0.0100031262263655
70.382,295.573,87.159,2.002,4.019,60.9813,278.2893371582031,0.0027794130146503
99.523,286.703,87.303,0.982,4.41,60.7424,279.617431640625,0.0039059184491634
49.631,318.266,86.906,2.668,5.169,62.8557,278.0724792480469,0.0001065284013748
36.475,336.684,86.942,2.583,3.236,61.5903,280.4701843261719,0.0241514891386032
123.127,281.757,87.186,1.147,4.592,61.3536,279.4230651855469,0.0006720013916492
82.094,302.146,86.884,1.003,6.212,62.2771,279.6487121582031,5.997717380523682e-07
106.233,307.484,86.466,2.336,6.82,60.4266,280.9539489746094,2.358108758926392e-05
75.166,312.132,86.672,1.985,3.911,59.3978,283.6001892089844,0.0146233346313238
82.389,311.402,86.867,1.869,3.632,60.8626,283.0438232421875,0.0024645356461405
113.728,310.596,86.559,1.64,4.671,59.6936,282.60906982421875,0.015731431543827
16.592,346.287,85.376,3.489,3.224,59.5812,281.2493591308594,0.0570816844701767
